depmap_id,cell_line_name
ACH-000874,RS4;11
ACH-000875,NCI-H2347
ACH-000876,MDA-MB-415
ACH-000878,HCC-15
ACH-000879,MFE-296
ACH-000880,AGS
ACH-000881,MEL-JUSO
ACH-000882,IGR-1
ACH-000885,TOV-21G
ACH-000886,NCI-H2009
ACH-000888,NCI-H1793
ACH-000890,SW 1271
ACH-000893,NCI-H1651
ACH-000895,CL-34
ACH-000896,647-V
ACH-000900,NCI-H23
ACH-000903,FTC-133
ACH-000905,5637
ACH-000906,ES-2
ACH-000910,MDA-MB-453
ACH-000911,NUGC-3
ACH-000913,ESS-1
ACH-000914,HT
ACH-000915,IPC-298
ACH-000917,TE-4
ACH-000918,MOLT-16
ACH-000920,CML-T1
ACH-000922,RCH-ACV
ACH-000924,NCI-H2172
ACH-000927,BT-474
ACH-000929,NCI-H2110
ACH-000930,HCC1569
ACH-000932,SNU-1
ACH-000934,MDA-MB-361
ACH-000935,MDST8
ACH-000936,EFO-27
ACH-000937,PF-382
ACH-000938,NALM-6
ACH-000939,SK-UT-1
ACH-000943,RKO
ACH-000944,NAMALWA
ACH-000945,NCI-H650
ACH-000947,OVK18
ACH-000948,23132/87
ACH-000949,TGBC11TKB
ACH-000950,LoVo
ACH-000951,NCI-H2342
ACH-000953,SUP-T1
ACH-000955,SNU-407
ACH-000956,22Rv1
ACH-000957,LS 180
ACH-000958,SW48
ACH-000960,Reh
ACH-000963,CCK-81
ACH-000965,RL95-2
ACH-000966,IGROV1
ACH-000968,COLO 792
ACH-000969,KM12
ACH-000970,SNU-C5
ACH-000971,HCT 116
ACH-000973,639-V
ACH-000974,SNG-M
ACH-000976,HuCCT1
ACH-000978,EN
ACH-000979,DU 145
ACH-000980,NCI-H1155
ACH-000981,DND-41
ACH-000983,KCL-22
ACH-000985,LS411N
ACH-000986,HT115
ACH-000987,MeWo
ACH-000989,SNU-175
ACH-000991,SNU-81
ACH-000995,JURKAT
ACH-000997,HCT-15
ACH-000998,CW-2
ACH-000999,SNU-1040
ACH-001075,NCI-H292
ACH-001106,KOPN-8
ACH-001190,SK-MEL-2
ACH-001306,8305C
ACH-001307,8505C
